,Date,Company,Adj Close,Close,Open,Volume
0,2024-01-02 00:00:00+00:00,AAPL,184.93821716308594,185.63999938964844,187.14999389648438,82488700.0
1,2024-01-03 00:00:00+00:00,AAPL,183.55348205566406,184.25,184.22000122070312,58414500.0
2,2024-01-04 00:00:00+00:00,AAPL,181.2223358154297,181.91000366210938,182.14999389648438,71983600.0
3,2024-01-05 00:00:00+00:00,AAPL,180.4950714111328,181.17999267578125,181.99000549316406,62303300.0
4,2024-01-08 00:00:00+00:00,AAPL,184.8585205078125,185.55999755859375,182.08999633789062,59144500.0
5,2024-01-09 00:00:00+00:00,AAPL,184.4401092529297,185.13999938964844,183.9199981689453,42841800.0
6,2024-01-10 00:00:00+00:00,AAPL,185.48614501953125,186.19000244140625,184.35000610351562,46792900.0
7,2024-01-11 00:00:00+00:00,AAPL,184.88841247558594,185.58999633789062,186.5399932861328,49128400.0
8,2024-01-12 00:00:00+00:00,AAPL,185.2171630859375,185.9199981689453,186.05999755859375,40444700.0
9,2024-01-16 00:00:00+00:00,AAPL,182.93582153320312,183.6300048828125,182.16000366210938,65603000.0
10,2024-01-17 00:00:00+00:00,AAPL,181.98941040039062,182.67999267578125,181.27000427246094,47317400.0
11,2024-01-18 00:00:00+00:00,AAPL,187.91693115234375,188.6300048828125,186.08999633789062,78005800.0
12,2024-01-19 00:00:00+00:00,AAPL,190.83584594726562,191.55999755859375,189.3300018310547,68741000.0
13,2024-01-22 00:00:00+00:00,AAPL,193.1570281982422,193.88999938964844,192.3000030517578,60133900.0
14,2024-01-23 00:00:00+00:00,AAPL,194.44215393066406,195.17999267578125,195.02000427246094,42355600.0
15,2024-01-24 00:00:00+00:00,AAPL,193.7647247314453,194.5,195.4199981689453,53631300.0
16,2024-01-25 00:00:00+00:00,AAPL,193.43597412109375,194.1699981689453,195.22000122070312,54822100.0
17,2024-01-26 00:00:00+00:00,AAPL,191.69259643554688,192.4199981689453,194.27000427246094,44594000.0
18,2024-01-29 00:00:00+00:00,AAPL,191.0052032470703,191.72999572753906,192.00999450683594,47145600.0
19,2024-01-30 00:00:00+00:00,AAPL,187.3291473388672,188.0399932861328,190.94000244140625,55859400.0
20,2024-01-31 00:00:00+00:00,AAPL,183.70291137695312,184.39999389648438,187.0399932861328,55467800.0
21,2024-02-01 00:00:00+00:00,AAPL,186.15362548828125,186.86000061035156,183.99000549316406,64885400.0
22,2024-02-02 00:00:00+00:00,AAPL,185.14743041992188,185.85000610351562,179.86000061035156,102518000.0
23,2024-02-05 00:00:00+00:00,AAPL,186.9705047607422,187.67999267578125,188.14999389648438,69668800.0
24,2024-02-06 00:00:00+00:00,AAPL,188.5843963623047,189.3000030517578,186.86000061035156,43490800.0
25,2024-02-07 00:00:00+00:00,AAPL,188.69398498535156,189.41000366210938,190.63999938964844,53439000.0
26,2024-02-08 00:00:00+00:00,AAPL,187.6081085205078,188.32000732421875,189.38999938964844,40962000.0
27,2024-02-09 00:00:00+00:00,AAPL,188.37615966796875,188.85000610351562,188.64999389648438,45155200.0
28,2024-02-12 00:00:00+00:00,AAPL,186.680419921875,187.14999389648438,188.4199981689453,41781900.0
